store_name,state,city,zip,store_id,lat,lon
Aurora-CO,CO,Aurora,80012,1501,39.6987,-104.8377
Flagstaff-East,AZ,Flagstaff,86004,421,35.2257,-111.5741
Nw-Dallas,TX,Dallas,75229,564,32.8958,-96.8588
Newark-DE,DE,Newark,19711,1610,39.7011,-75.7375
Harper-Woods,MI,Harper-Woods,48225,2718,42.4377,-82.9289
Atascadero,CA,Atascadero,93422,1031,35.4754,-120.6638
Cabot,AR,Cabot,72023,1412,34.9457,-92.0318
W-Lansing,MI,Lansing,48917,2725,42.7376,-84.6244
Florence-AL,AL,Florence,35630,8577,34.8305,-87.656
Forked-River,NJ,Forked-River,08731,969,39.8444,-74.1973
Southland,FL,Orlando,32809,232,28.4637,-81.3948
Alafaya-Trail,FL,Orlando,32828,6331,28.5523,-81.1795
Modesto,CA,Modesto,95351,6601,37.6236,-120.9966
Ceres,CA,Modesto,95351,6947,37.6236,-120.9966
Marathon,FL,Marathon,33050,6302,24.7279,-81.0386
Normal,IL,Normal,61761,6987,40.5124,-88.9883
Watertown-NY,NY,Watertown,13601,6174,43.9743,-75.9122
Grand-Island,NE,Grand-Island,68803,3208,40.9286,-98.3873
Se-Anchorage,AK,Anchorage,99507,8940,61.1535,-149.8289
Prattville,AL,Prattville,36066,806,32.4787,-86.43
Kissimmee,FL,Kissimmee,34741,265,28.3051,-81.4242
Greenville-TX,TX,Greenville,75402,6554,33.1047,-96.0927
E-Amarillo,TX,Amarillo,79109,6831,35.1663,-101.8868
Berlin,CT,Berlin,06037,6203,41.6215,-72.7457
Quincy,MA,Quincy,02169,2670,42.2491,-70.9978
Quincy-II,MA,Quincy,02169,2608,42.2491,-70.9978
Walker,MI,Walker,49544,2720,43.0073,-85.7255
Lower-Paxton,PA,Harrisburg,17112,4138,40.3352,-76.7914
Rutland,VT,Rutland,05701,4502,43.6141,-72.9708
Coon-Rapids,MN,Coon-Rapids,55433,2803,45.1643,-93.3193
Burlington,NJ,Westampton,08060,939,40.0086,-74.7896
Alsip,IL,Alsip,60803,6822,41.6721,-87.7357
Brookwood,GA,Suwanee,30024,6978,34.0425,-84.0262
Suwanee,GA,Suwanee,30024,1754,34.0425,-84.0262
Waterbury,CT,Waterbury,06708,6212,41.5511,-73.0645
Linden,NJ,Linden,07036,934,40.6354,-74.2556
Orange-City,FL,Orange-City,32763,6323,28.9453,-81.2995
Military,TX,San-Antonio,78224,6529,29.3374,-98.5393
Burnsville,MN,Burnsville,55337,2809,44.7609,-93.2753
Oregon-City,OR,Oregon-City,97045,4017,45.3377,-122.57
E-Whiteland-Frazer-PA,PA,Frazer,19355,4119,40.0468,-75.531
Silverlake,TX,Pearland,77584,6567,29.5405,-95.3208
Escondido,CA,Escondido,92029,6612,33.0895,-117.1128
East-El-Paso,TX,El-Paso,79938,8523,31.8045,-105.9661
North-Olmsted,OH,North-Olmsted,44070,3803,41.4201,-81.9131
Ocala,FL,Ocala,34474,253,29.1565,-82.2095
Christiana,DE,Newark,19713,1601,39.6699,-75.7151
Kannapolis,NC,Kannapolis,28083,3607,35.4848,-80.6015
Elyria,OH,Elyria,44035,3827,41.3724,-82.1051
Bend,OR,Bend,97703,4008,44.0915,-121.4073
Kuykendahl,TX,Spring,77389,2389,30.1044,-95.5066
Puyallup,WA,Puyallup,98374,4709,47.1424,-122.2652
Fairlawn,OH,Fairlawn,44333,3841,41.1552,-81.6314
Carrollwood,FL,Tampa,33618,245,28.0763,-82.4852
Toms-River,NJ,Toms-River,08755,920,39.9999,-74.2228
Greece,NY,Greece,14615,1244,43.2058,-77.6521
Middleburg,FL,Middleburg,32068,6935,30.084,-81.8645
Mantua,NJ,Mantua,08051,974,39.787,-75.1785
N-Miami-Beach,FL,North-Miami-Beach,33162,251,25.9286,-80.183
Harrisonburg,VA,Harrisonburg,22801,4645,38.4489,-78.8714
Kingman,AZ,Kingman,86409,416,35.2633,-114.0223
Indio,CA,Indio,92203,6874,33.7532,-116.2676
Berlin-Township,NJ,West-Berlin,08091,940,39.8051,-74.9255
New-Orleans-Central,LA,New-Orleans,70125,385,29.9512,-90.1028
East-Charleston,SC,Charleston,29414,1118,32.8215,-80.0568
Riverbank-CA,CA,Riverbank,95367,1842,37.7298,-120.94200000000001
Bowling-Green-KY,KY,Bowling-Green,42104,2318,36.9375,-86.4481
Newark-CA,CA,Newark,94560,6964,37.5368,-122.03200000000001
Bruce-B-Downs,FL,Tampa,33647,6311,28.1147,-82.3678
W-Columbia,SC,Columbia,29212,1112,34.0726,-81.1796
Federal-Way,WA,Federal-Way,98003,4703,47.3203,-122.3117
Thomas-Township,MI,Saginaw,48609,2779,43.3869,-84.0926
Cordova,TN,Memphis,38133,704,35.2054,-89.8036
La-Habra,CA,La-Habra,90631,6657,33.9331,-117.9493
Palm-Coast,FL,Palm-Coast,32137,6363,29.5565,-81.219
Ocean-City,MD,Berlin,21811,2578,38.3475,-75.1866
South-County,MO,Saint-Louis,63125,3010,38.5222,-90.3021
Tulsa-Central,OK,Tulsa,74145,3913,36.0934,-95.8856
Roseburg,OR,Roseburg,97470,4020,43.2297,-123.2343
North-Salem,OR,Salem,97301,4030,44.949,-123.00399999999999
Nanuet,NY,Nanuet,10954,1261,41.0977,-74.0109
Alamo-Heights,TX,San-Antonio,78209,6544,29.4821,-98.4554
Brandon,FL,Tampa,33619,243,27.9382,-82.3756
Seneca,NY,West-Seneca,14224,1231,42.8371,-78.7484
Schaumburg,IL,Schaumburg,60194,1904,42.0289,-88.1167
East-Brea,CA,Brea,92821,1072,33.9291,-117.8845
S-Reno,NV,Reno,89521,8560,39.3809,-119.6859
Nashua,NH,Nashua,03060,3481,42.7564,-71.4667
Cedartown-GA,GA,Cedartown,30125,6942,34.0112,-85.2459
W-Mobile,AL,Mobile,36695,801,30.6474,-88.2292
Power-Inn,CA,Sacramento,95826,6620,38.5539,-121.3693
N-Brownsville,TX,Brownsville,78520,6984,25.9337,-97.5174
Cary,NC,Cary,27518,3615,35.7299,-78.7735
Summerville,SC,Summerville,29483,1120,33.028,-80.1739
El-Paso,TX,El-Paso,79936,522,31.7677,-106.3016
Lompoc,CA,Lompoc,93436,6681,34.6583,-120.4506
Oak-Cliff,TX,Dallas,75211,6816,32.7319,-96.9057
Wesley-Chapel,GA,Decatur,30035,118,33.7278,-84.2143
Rogers,AR,Rogers,72758,8445,36.3169,-94.1545
Gillette,WY,Gillette,82718,6005,43.9282,-105.5492
Southport,IN,Indianapolis,46237,2012,39.673,-86.0757
Bedford-Stuyvesant,NY,Brooklyn,11205,6957,40.6924,-73.9666
Randhurst,IL,Mount-Prospect,60056,1913,42.0624,-87.9377
South-Loop,IL,Chicago,60607,1950,41.8721,-87.6578
Mcdonough,GA,Mcdonough,30253,157,33.451,-84.1544
Dundalk,MD,Baltimore,21224,2505,39.2876,-76.5568
Paris-TX,TX,Paris,75460,6566,33.6581,-95.5379
Soquel,CA,Soquel,95073,6968,37.0048,-121.9507
Panama-City-Beach,FL,Panama-City,32407,8446,30.2007,-85.8136
Se-Des-Moines,IA,Des-Moines,50320,2104,41.5487,-93.5827
Amherst,NY,Amherst,14228,1233,43.0408,-78.7812
Roanoke,VA,Roanoke,24017,4609,37.2937,-79.9902
Jensen-Beach,FL,Jensen-Beach,34957,221,27.2356,-80.2277
Cuyahoga-Falls,OH,Cuyahoga-Falls,44221,3809,41.1401,-81.479
Imperial-Beach,CA,San-Diego,92154,671,32.5753,-117.0707
Otay-Mesa,CA,San-Diego,92154,1034,32.5753,-117.0707
Fullerton-relo-682,CA,Fullerton,92831,6893,33.8873,-117.8946
W-Jordan,UT,West-Jordan,84088,4410,40.5959,-111.9644
Janesville,WI,Janesville,53546,4911,42.6683,-89.0025
Alexandria-LA,LA,Alexandria,71301,374,31.2885,-92.4633
Montville,NJ,Montville,07045,965,40.9049,-74.3646
Winter-Haven,FL,Winter-Haven,33881,6371,28.0452,-81.7325
Shallotte,NC,Shallotte,28470,3648,33.9637,-78.4064
Colma-II,CA,Colma,94014,639,37.6875,-122.4388
The-Home-Depot-Pro,CA,Colma,94014,6655,37.6875,-122.4388
Hagerstown,MD,Hagerstown,21740,2567,39.632,-77.7372
Chesterfield,MI,Chesterfield,48051,2734,42.6938,-82.8207
W-Plano,TX,Plano,75093,551,33.0299,-96.7889
Cumberland,GA,Atlanta,30339,121,33.8713,-84.4629
Logan,UT,Logan,84341,4414,41.7759,-111.8068
South-Chase,FL,Orlando,32837,6328,28.3949,-81.4179
Avondale,AZ,Avondale,85323,441,33.4321,-112.3438
Grand-Prairie,TX,Grand-Prairie,75052,507,32.6605,-97.0311
Grand-Prairie-South,TX,Grand-Prairie,75052,8517,32.6605,-97.0311
Se-Knoxville,TN,Knoxville,37920,773,35.8929,-83.9387
E-Kennewick,WA,Kennewick,99337,4739,46.1814,-119.1383
Winchester,VA,Winchester,22601,4618,39.1858,-78.1827
Pensacola,FL,Pensacola,32503,6853,30.4564,-87.2104
Valdosta,GA,Valdosta,31601,140,30.7539,-83.3321
Hyattsville,MD,Hyattsville,20782,2564,38.9647,-76.9649
Greenfield-MA,MA,Greenfield,01301,2619,42.6013,-72.6236
Jackson-TN,TN,Jackson,38305,727,35.6829,-88.8281
Lincoln,CA,Lincoln,95648,8571,38.8942,-121.2908
Selma-CA,CA,Selma,93662,8529,36.5695,-119.617
